mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__num_leaves,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mean_squared_error,split1_test_mean_squared_error,split2_test_mean_squared_error,mean_test_mean_squared_error,std_test_mean_squared_error,rank_test_mean_squared_error,split0_test_spearmanr,split1_test_spearmanr,split2_test_spearmanr,mean_test_spearmanr,std_test_spearmanr,rank_test_spearmanr,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,quantile
91.83913087844849,5.2369856483834605,32.73871771494547,2.3097031035700537,0.2,13,48,"{'model__learning_rate': 0.2, 'model__max_depth': 13, 'model__num_leaves': 48}",-0.03424413866623288,-0.03801360366030271,-0.024712713226261895,-0.03232348518426583,0.005597326977104561,16,-13548.97982789552,-13700.695647303428,-13273.764901764262,-13507.813458987737,176.70779612766742,16,0.8038069167380062,0.8106670633606236,0.7984960149180057,0.8043233316722117,0.004982209572491609,8,-13548.97982789552,-13700.695647303428,-13273.764901764262,-13507.813458987737,176.70779612766742,16,0.05
89.13880197207133,1.6736784609550837,32.6761736869812,0.7848934608414102,0.1,7,60,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__num_leaves': 60}",-0.018719574378554205,-0.03649543924916587,-0.0495968476346722,-0.034937287087464096,0.012653652425354163,17,-13345.602307533758,-13680.657462383495,-13596.105149579855,-13540.788306499036,142.26841777467982,17,0.8037075604946119,0.8081378794820344,0.7969243067061625,0.8029232488942696,0.00461139256731032,16,-13345.602307533758,-13680.657462383495,-13596.105149579855,-13540.788306499036,142.26841777467982,17,0.05
89.98243411382039,2.071399534833545,31.85747464497884,1.1521510107265032,0.1,7,48,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__num_leaves': 48}",-0.03045279999085837,-0.027658527176491754,-0.05896728594840761,-0.03902620437191925,0.014146543534739027,18,-13499.31189233476,-13564.019450759408,-13717.486482706287,-13593.605941933485,91.49338160377586,18,0.8030698200498237,0.8067563049086283,0.7933654655530665,0.8010638635038395,0.005647804346817619,22,-13499.31189233476,-13564.019450759408,-13717.486482706287,-13593.605941933485,91.49338160377586,18,0.05
90.51391752560933,3.860324575480094,31.47625478108724,1.1944141181165924,0.1,7,36,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__num_leaves': 36}",-0.03498490689333478,-0.04254767352485356,-0.0664254602595542,-0.04798601355924751,0.013399222757080402,19,-13558.684164996326,-13760.540634920904,-13814.097026446734,-13711.107275454655,109.97477049960412,19,0.8028287635393634,0.8069792560485738,0.7950459267141553,0.8016179821006975,0.0049464183014976655,19,-13558.684164996326,-13760.540634920904,-13814.097026446734,-13711.107275454655,109.97477049960412,19,0.05
87.86438226699829,1.1224868893554507,30.53081766764323,0.966664621980088,0.1,5,24,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__num_leaves': 24}",-0.03731068567682794,-0.04250777965663732,-0.07379106870591778,-0.05120317801312768,0.016112356560950728,20,-13589.152725216869,-13760.014077518672,-13909.508504818714,-13752.891769184751,130.88163058804707,20,0.8024146893456022,0.8057782464334989,0.7947378287645375,0.8009769215145462,0.004620468073568145,23,-13589.152725216869,-13760.014077518672,-13909.508504818714,-13752.891769184751,130.88163058804707,20,0.05
88.59795292218526,2.8928019864509236,31.81845768292745,1.4471814674075403,0.1,5,36,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__num_leaves': 36}",-0.03503282982864264,-0.05951842364695059,-0.0655462073994324,-0.05336582029167521,0.013194884077548218,21,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.8012826378487002,0.8025245196899506,0.7941040384311535,0.7993037319899349,0.0037115295549436725,25,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.05
89.13502907752991,1.919067434459967,31.414345264434814,1.7030482363163135,0.1,5,48,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__num_leaves': 48}",-0.03503282982864264,-0.05951842364695059,-0.0655462073994324,-0.05336582029167521,0.013194884077548218,21,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.8012826378487002,0.8025245196899506,0.7941040384311535,0.7993037319899349,0.0037115295549436725,25,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.05
85.38982144991557,1.4591111058355979,31.885236581166584,1.2756047898670324,0.1,5,60,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__num_leaves': 60}",-0.03503282982864264,-0.05951842364695059,-0.0655462073994324,-0.05336582029167521,0.013194884077548218,21,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.8012826378487002,0.8025245196899506,0.7941040384311535,0.7993037319899349,0.0037115295549436725,25,-13559.311973131276,-13984.536815230484,-13802.707496870471,-13782.185428410745,174.20277084473187,21,0.05
87.84003520011902,2.4422688989662626,31.37240966161092,1.099582945250082,0.1,7,24,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__num_leaves': 24}",-0.06278266953154632,-0.06802486712663858,-0.08814341272861537,-0.07298364979560008,0.010931116687250081,24,-13922.845112266921,-14096.812986511117,-14095.423676834798,-14038.360591870945,81.68374814471963,24,0.8029698593356385,0.8058294198161433,0.7952175844937779,0.80133895454852,0.004483127631890885,20,-13922.845112266921,-14096.812986511117,-14095.423676834798,-14038.360591870945,81.68374814471963,24,0.05
93.92979208628337,1.1253379395526546,32.21469235420227,0.765998503243962,0.1,11,60,"{'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__num_leaves': 60}",-0.07938761964803409,-0.0725453235388378,-0.06906336238781385,-0.07366543519156192,0.004288633005183884,25,-14140.37608562263,-14156.478290773075,-13848.267474644004,-14048.37395034657,141.64926512635097,25,0.8022781356202716,0.8089999280460984,0.7971950417102481,0.8028243684588726,0.0048347776981684815,17,-14140.37608562263,-14156.478290773075,-13848.267474644004,-14048.37395034657,141.64926512635097,25,0.05
